id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
40491172,"Renovated, private parking,location, washer dryer!",152762198,Allen,,THIRTEENTH WARD,42.66827,-73.79231,Entire home/apt,96,3,100,1/13/2024,1.96,8,332,19,
40828178,Comfortable! One Bedroom A/C Apartment Queen Bed,47491906,Lloyd,,FOURTH WARD,42.67773,-73.73899,Entire home/apt,111,1,166,8/7/2023,3.34,1,203,4,
41319631,Modern Carriage in the Heart of Albany,59864591,Daniel,,SIXTH WARD,42.65115,-73.7668,Entire home/apt,92,30,4,1/6/2023,0.11,1,11,0,
42009788,Chic & Stylish 2BR with separate entrance downtown,188679144,Elizabeth,,SIXTH WARD,42.65315,-73.76202,Entire home/apt,110,7,22,12/30/2023,0.45,8,356,7,
42092736,Private Bedroom in Cozy Ranch Home,41400541,John,,FOURTEENTH WARD,42.66403,-73.81446,Private room,45,1,132,1/28/2024,2.72,1,160,47,
42391372,Central Albany Apartment: Walk to State Capitol!,121680792,Evolve,,SECOND WARD,42.6469,-73.75761,Entire home/apt,178,3,27,10/27/2022,0.61,5,361,0,
42567833,Homey,339085327,Arkady,,NINTH WARD,42.65567,-73.7854,Entire home/apt,,70,0,,,1,365,0,
42763847,Charming dog friendly home with private yard!,649068,Anthony,,FIRST WARD,42.63876,-73.78535,Entire home/apt,150,1,92,12/31/2023,1.98,1,48,21,
42878766,Hope ON THE HILL,341431807,Rakee,,FIRST WARD,42.63085781,-73.77276296,Entire home/apt,115,2,2,1/29/2024,1.02,1,264,2,
43208391,Historic Downtown Albany Apartment,272907816,Angela,,SECOND WARD,42.64453,-73.75426,Entire home/apt,120,2,79,1/2/2024,1.91,4,77,14,
43459803,Luxury & Safety in Center Square + Parking,299638115,Dominick,,SIXTH WARD,42.65556,-73.76205,Entire home/apt,175,4,14,10/10/2023,0.38,3,289,3,
43736299,*The Blue House* Incredible 3 Bedroom Apartment,349460842,Scott,,TENTH WARD,42.66257,-73.78281,Entire home/apt,172,1,108,1/5/2024,2.45,5,354,27,
43955950,* Quaint home located in residential neighborhood*,232967878,Diana,,EIGHTH WARD,42.64383,-73.78926,Entire home/apt,245,2,67,12/28/2023,1.52,19,0,21,
44180048,Historic Queen Studio Across from Washington Park!,355777684,Lloyd,,SIXTH WARD,42.65935,-73.76805,Entire home/apt,116,1,321,1/21/2024,7.36,3,351,72,
44265426,Parkside Queen 1 Bedroom (1800's) Brownstone!,355777684,Lloyd,,SIXTH WARD,42.66006,-73.76966,Entire home/apt,132,1,280,12/25/2023,6.5,3,253,55,
44450012,Spacious upscale luxury apartment with huge yard,353498132,Michael,,EIGHTH WARD,42.64808,-73.7996,Entire home/apt,135,13,22,12/21/2023,0.52,5,225,2,
45024912,Private Apt Queen 1 Bed Sanctuary with many Extras,362851072,Elsa,,FOURTEENTH WARD,42.66132,-73.7956,Entire home/apt,129,1,118,10/9/2023,2.79,1,0,19,
